"","V1","V2"
"result.1",2001,0
"result.2",2001,0
"result.3",2001,0
"result.4",2001,0
"result.5",2001,0
"result.6",2001,0
"result.7",2001,0
"result.8",2001,0
"result.9",2001,0
"result.10",2001,0
"result.11",2001,0
"result.12",2001,0
"result.13",2001,0
"result.14",1008,0.394870912964969
"result.15",1034,0.438799019856202
"result.16",168,0.382049432680596
"result.17",2001,0
"result.18",2001,0
"result.19",2001,0
"result.20",2001,0
"result.21",911,0.330001647345654
"result.22",2001,0
"result.23",2001,0
"result.24",2001,0
"result.25",2001,0
"result.26",2001,0
"result.27",2001,0
"result.28",2001,0
"result.29",2001,0
"result.30",2001,0
"result.31",2001,0
"result.32",2001,0
"result.33",2001,0
"result.34",2001,0
"result.35",2001,0
"result.36",2001,0
"result.37",2001,0
"result.38",2001,0
"result.39",1235,0.48467289745339
"result.40",2001,0
"result.41",2001,0
"result.42",2001,0
"result.43",2001,0
"result.44",2001,0
"result.45",2001,0
"result.46",2001,0
"result.47",2001,0
"result.48",2001,0
"result.49",2001,0
"result.50",2001,0
"result.51",2001,0
"result.52",2001,0
"result.53",2001,0
"result.54",1022,0.566750508488916
"result.55",2001,0
"result.56",2001,0
"result.57",2001,0
"result.58",2001,0
"result.59",2001,0
"result.60",2001,0
"result.61",2001,0
"result.62",2001,0
"result.63",2001,0
"result.64",2001,0
"result.65",2001,0
"result.66",2001,0
"result.67",2001,0
"result.68",2001,0
"result.69",2001,0
"result.70",2001,0
"result.71",2001,0
"result.72",2001,0
"result.73",2001,0
"result.74",2001,0
"result.75",2001,0
"result.76",2001,0
"result.77",2001,0
"result.78",2001,0
"result.79",2001,0
"result.80",2001,0
"result.81",2001,0
"result.82",2001,0
"result.83",2001,0
"result.84",2001,0
"result.85",2001,0
"result.86",2001,0
"result.87",2001,0
"result.88",2001,0
"result.89",2001,0
"result.90",2001,0
"result.91",2001,0
"result.92",2001,0
"result.93",2001,0
"result.94",2001,0
"result.95",2001,0
"result.96",2001,0
"result.97",2001,0
"result.98",2001,0
"result.99",2001,0
"result.100",2001,0
"result.101",2001,0
"result.102",2001,0
"result.103",2001,0
"result.104",2001,0
"result.105",2001,0
"result.106",2001,0
"result.107",2001,0
"result.108",2001,0
"result.109",2001,0
"result.110",2001,0
"result.111",2001,0
"result.112",2001,0
"result.113",2001,0
"result.114",2001,0
"result.115",2001,0
"result.116",2001,0
"result.117",2001,0
"result.118",2001,0
"result.119",2001,0
"result.120",2001,0
"result.121",2001,0
"result.122",2001,0
"result.123",2001,0
"result.124",2001,0
"result.125",2001,0
"result.126",2001,0
"result.127",2001,0
"result.128",2001,0
"result.129",2001,0
"result.130",2001,0
"result.131",2001,0
"result.132",2001,0
"result.133",2001,0
"result.134",2001,0
"result.135",2001,0
"result.136",2001,0
"result.137",2001,0
"result.138",2001,0
"result.139",2001,0
"result.140",2001,0
"result.141",2001,0
"result.142",2001,0
"result.143",2001,0
"result.144",2001,0
"result.145",2001,0
"result.146",2001,0
"result.147",2001,0
"result.148",2001,0
"result.149",2001,0
"result.150",2001,0
"result.151",2001,0
"result.152",2001,0
"result.153",2001,0
"result.154",2001,0
"result.155",2001,0
"result.156",2001,0
"result.157",2001,0
"result.158",2001,0
"result.159",1008,0.511267138180528
